,ID,title,subject,catalog,career,classUnit,prerequisites,crosslisted,description
0,26,Financial and Managerial Accounting,ACCO,220,UGRD,3.0,"   Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240",,"This course provides an introduction to accounting principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for planning and control purposes. The role of accounting information in various manufacturing decisions is also highlighted.

NOTE: This course would be useful to Engineering students.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for ACCO 230, 240 may not take this course for credit.

"
1,27,Introduction to Financial Accounting,ACCO,230,UGRD,3.0,"   Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I",,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, measurement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.

NOTE: JMSB students may not take this course for credit.
""NOTE: Students who receive a grade of """"C"""" or better may be exempt from COMM 217.""
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

"
2,28,Introduction to Managerial Accounting,ACCO,240,UGRD,3.0,"   Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 You must complete 1 of the following rules   Course Prer",,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.
Prerequisite: ACCO 230.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who receive a passing grade may be exempt from COMM 305.
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

"
3,35,Financial Reporting I,ACCO,310,UGRD,3.0,"Course Corequisite: One of (COMM305, ACCO218, ACCO240)  Never Taken: ACCO320, ACCO350",,"Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.
Prerequisite: COMM 305 previously or concurrently.




"
4,43,Financial Reporting II,ACCO,320,UGRD,3.0,"Course Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460",,"This course continues the intensive study of ACCO 310, with particular emphasis on accounting for liabilities, shareholders equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.
Prerequisite: ACCO 310.




"
5,53,Cost and Management Accounting,ACCO,330,UGRD,3.0,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.
Prerequisite: COMM 305.




"
6,55,Income Taxation in Canada,ACCO,340,UGRD,3.0,"Course Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441;  ACCO440",,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.
Prerequisite: COMM 217.




"
7,57,Accounting and Information Technology,ACCO,350,UGRD,3.0,"Course Prerequisite: One of (ACCO218, COMM305, ACCO240)  One of (COMM226, COMM301) Never Taken: ACCO414",,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.
Prerequisite: COMM 226 or 301, COMM 305"
8,58,Analysis of Financial Statements,ACCO,355,UGRD,3.0,,,"This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies.
Prerequisite: COMM 305, 308.

NOTE: This course would be useful for students in Finance and Management."
9,59,U.S. Federal Taxation,ACCO,365,UGRD,3.0,"Course Prerequisite: One of (COMM217, ACCO230)",,"This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.
Prerequisite: COMM 217 or ACCO 230.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
10,60,Accounting Theory,ACCO,400,UGRD,3.0,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




"
11,86,Financial Reporting III,ACCO,420,UGRD,3.0,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




"
12,89,FINANCIAL REPORTING IV,ACCO,425,UGRD,3.0,"Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",,Please see UGRD Calendar
13,92,Advanced Management Accounting,ACCO,430,UGRD,3.0,"Course Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435",,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and managements need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




"
14,97,STRAT ACCTNG CASE ANALYSIS,ACCO,435,UGRD,3.0,"   Course Prerequisite: ACCO320, ACCO330; Course Corequisite: COMM401",,Please see UGRD Calendar
15,98,Advanced Taxation,ACCO,440,UGRD,3.0,"Course Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442;  ACCO490",,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




"
16,104,Assurance Services,ACCO,450,UGRD,3.0,"Course Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D",,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




"
17,106,Fraud Prevention and Investigation,ACCO,455,UGRD,3.0,"Course Prerequisite: COMM315 Course Prerequisite: One of (COMM217, ACCO230)",,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
18,109,Advanced Assurance Services,ACCO,465,UGRD,3.0,Course Prerequisite: One of (ACCO 360 or 450) and ACCO 320; Never Taken  ACCO470,,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
19,173,BUSINESS ADVISORY SERVICES,ACCO,631,GRAD,4.0,,,Please see GRAD Calendar
20,174,INTEGRATED APPROACH TO AUDIT,ACCO,635,GRAD,4.0,"   Course Prerequisite: ACCO678, ACCO643; Course Corequisite: ACCO613",,Please see GRAD Calendar
21,178,FINANCIAL REPORTING:COMP APP,ACCO,651,GRAD,4.0,,,Please see GRAD Calendar
22,182,MANAGEMENT ACCOUNTING II,ACCO,672,GRAD,3.0,,,Please see GRAD Calendar
23,185,FINAN L ACCO G/REPORT G III,ACCO,681,GRAD,3.0,,,Please see GRAD Calendar
24,186,COMPREHENSIVE CASE ANALYSIS,ACCO,682,GRAD,3.0,,,Please see GRAD Calendar
25,187,CASE ANALY/INTEG/EXAM PREP,ACCO,685,GRAD,6.0,"You must complete 1 of the following rules  You must complete ALL of the following rules  Course Prerequisite: ACCO613, ACCO631, ACCO635",,Please see GRAD Calendar
26,189,ADV EXAM WRITING TECHNIQUES,ACCO,690B,GRAD,1.0,,,Please see GRAD Calendar
27,190,BUSINESS VALUATIONS,ACCO,691,GRAD,3.0,Prerequisite:MBA 642,,Please see GRAD Calendar
28,191,SEMINAR IN SPECIAL TOPICS,ACCO,695,GRAD,3.0,Prerequisite: MBA 607 or MBA 642,,Please see GRAD Calendar
29,235,Mathematics of Finance,ACTU,256,UGRD,3.0,"Prerequisite: MATH264 previously or concurrently, and permission of the Department.",,"Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
Prerequisite: MATH 264 previously or concurrently; and permission of the Department.
NOTE: Students who have received credit for MATH 326 may not take this course for credit.
NOTE: Only three credits will be awarded from ACTU 256; MAST 335.


"
30,236,Actuarial Mathematics I,ACTU,257,UGRD,3.0,Prerequisite: ACTU256.,,"Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
Prerequisite: ACTU 256.
NOTE: Students who have received credit for MATH 327 may not take this course for credit.



"
31,237,Actuarial Mathematics Lab I,ACTU,286,UGRD,1.0,,,"This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 229 may not take this course for credit.



"
32,238,Actuarial Mathematics II,ACTU,357,UGRD,3.0,Prerequisite: ACTU257.,,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.
Prerequisite: ACTU 257.
NOTE: Students who have received credit for MATH 427 may not take this course for credit.



"
33,239,Actuarial Mathematics Lab II,ACTU,386,UGRD,2.0,,,"This lab will feature the use of programming languages and software applications.

NOTE: Students who have received credit for MATH 232 may not take this course for credit.



"
34,241,Risk Theory,ACTU,457,UGRD,3.0,Prerequisite: ACTU257.,,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.

NOTE: Students who have received credit for MATH 428 may not take this course for credit."
35,242,Credibility Theory,ACTU,458,UGRD,3.0,ACTU457; STAT349 previously or concurrently.,,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.
Prerequisite: ACTU 457; STAT 349 previously or concurrently.




"
36,243,Loss Distributions,ACTU,459,UGRD,3.0,Prerequisite: ACTU457 and STAT360,,"Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
Prerequisite: ACTU 457; STAT 360.




"
